Species,Reserva El Copal (Tausito),PN Tapanti--Sector Tapanti,Hotel Quelitales,Hotel Bougainvillea,HOTEL GEMA DEL BOSQUE,"PN Los Quetzales--KM 76, Providencia road",San Gerardo de Dota,Max Freq,Tax Sort
Black Hawk-Eagle,9.38,2.55,1.44,0.0,0.0,0.0,0.463,9.38,7926.0
Ornate Hawk-Eagle,5.47,16.35,1.72,0.0,0.0,0.0,3.71,16.35,7930.0
Bicolored Hawk,12.51,2.56,0.8596,0.0959,0.0,0.0,0.463,12.51,8174.0
Double-toothed Kite,11.73,0.5102,0.0,0.0959,0.0,0.0,0.0,11.73,8242.0
Barred Hawk,14.07,5.62,2.87,0.1918,0.0,1.01,0.0093,14.07,8312.0
Great Black Hawk,0.7812,1.53,0.0,0.0,0.0,0.0,0.0,1.53,8325.0
Roadside Hawk,11.72,5.11,2.58,0.768,0.0,0.0,0.0,11.72,8334.0
Bare-shanked Screech-Owl,0.0,0.5102,0.0,0.0,3.7,4.06,5.09,5.09,8703.0
Tropical Screech-Owl,1.56,0.0051,0.2865,2.78,0.0,0.0,0.0,2.78,8714.0
Crested Owl,7.81,0.0,4.31,0.0,0.0,0.0,0.0,7.81,8793.0
Costa Rican Pygmy-Owl,0.7812,1.02,0.5759,0.0,0.0,11.14,4.63,11.14,8919.0
Ferruginous Pygmy-Owl,0.0,0.5102,0.0,11.04,0.0,0.0,0.0,11.04,8936.0
Unspotted Saw-whet Owl,0.0,0.0,0.0,0.0,0.0,4.04,0.463,4.04,9207.0
Resplendent Quetzal,0.0,0.0051,0.0,0.0,25.96,15.21,54.8,54.8,9404.0
Lattice-tailed Trogon,1.56,0.0,0.0,0.0,0.0,0.0,0.0,1.56,9417.0
Gartered Trogon,29.72,1.02,0.0,0.0,0.0,0.0,0.0,29.72,9439.0
Northern Black-throated Trogon,3.12,0.0,0.0,0.0,0.0,0.0,0.0,3.12,9456.0
Collared Trogon,44.57,43.41,12.04,0.0,7.41,3.05,17.17,44.57,9476.0
Lesson's Motmot,0.7812,1.03,6.6,53.72,0.0,0.0,0.0,53.72,9755.0
Rufous Motmot,4.7,0.0,5.73,0.0,0.0,0.0,0.0,5.73,9781.0
Broad-billed Motmot,32.05,0.5102,2.87,0.0,0.0,0.0,0.0,32.05,9788.0
Rufous-tailed Jacamar,20.34,3.07,0.2865,0.0,0.0,0.0,0.0,20.34,10393.0
Red-headed Barbet,11.73,32.19,11.75,0.0,0.0,0.0,2.32,32.19,10711.0
Prong-billed Barbet,0.7812,24.53,0.2865,0.0,0.0,0.0,0.0,24.53,10724.0
Northern Emerald-Toucanet,3.12,13.28,2.3,0.0,3.74,1.03,23.67,23.67,10729.0
Collared Aracari,29.72,0.5102,2.01,0.0,0.0,0.0,0.0,29.72,10778.0
Yellow-eared Toucanet,11.73,0.0,0.0,0.0,0.0,0.0,0.0,11.73,10805.0
Yellow-throated Toucan,1.57,0.0,0.2865,0.1918,0.0,0.0,0.0,1.57,10817.0
Keel-billed Toucan,53.15,0.5102,32.11,0.0,0.0,0.0,0.0,53.15,10827.0
Black-cheeked Woodpecker,21.89,0.5102,7.74,0.0,0.0,0.0,0.0,21.89,11049.0
Hoffmann's Woodpecker,0.7812,4.6,27.53,60.24,0.0,0.0,0.0,60.24,11070.0
Smoky-brown Woodpecker,8.59,6.63,2.58,0.0959,0.0,0.0,0.0,8.59,11342.0
Pale-billed Woodpecker,6.25,0.5102,0.0,0.2876,0.0,0.0,0.0,6.25,11447.0
Lineated Woodpecker,7.82,0.5102,0.8596,10.26,0.0,0.0,0.0,10.26,11639.0
Rufous-winged Woodpecker,7.82,0.5102,0.0,0.0,0.0,0.0,0.0,7.82,11720.0
