Species,Reserva El Copal (Tausito),PN Tapanti--Sector Tapanti,Hotel Quelitales,Hotel Bougainvillea,HOTEL GEMA DEL BOSQUE,"PN Los Quetzales--KM 76, Providencia road",San Gerardo de Dota,Max Freq,Tax Sort
Golden-crowned Warbler,19.55,3.57,4.87,0.0,0.0,0.0,0.0,19.55,33960.0
Costa Rican Warbler,0.0,25.04,2.01,0.0,0.0,0.0,0.0,25.04,33978.0
Buff-rumped Warbler,7.03,8.17,12.89,0.0,0.0,0.0,0.0,12.89,34018.0
Slate-throated Redstart,10.16,74.04,27.81,0.0,0.0,1.01,1.4,74.04,34069.0
Collared Redstart,0.0,12.26,0.2865,0.0,11.11,38.44,45.93,45.93,34091.0
Flame-colored Tanager,0.0,0.5102,0.5731,0.1918,59.3,14.17,69.1,69.1,34151.0
White-winged Tanager,3.14,19.91,6.31,0.0,0.0,2.02,1.85,19.91,34158.0
Red-throated Ant-Tanager,15.63,0.0,0.2865,0.0,0.0,0.0,0.0,15.63,34190.0
Carmiol's Tanager,39.09,3.07,0.2865,0.0,0.0,0.0,0.0,39.09,34203.0
Black-faced Grosbeak,48.47,1.53,0.0,0.0,0.0,0.0,0.0,48.47,34215.0
Black-thighed Grosbeak,4.7,6.12,2.01,0.0,0.0,3.04,15.31,15.31,34258.0
White-shouldered Tanager,34.41,1.53,0.2865,0.0959,0.0,0.0,0.0,34.41,34471.0
Tawny-crested Tanager,24.24,1.02,0.0,0.0,0.0,0.0,0.0,24.24,34484.0
White-lined Tanager,10.94,2.05,0.8596,0.0,0.0,0.0,0.0,10.94,34486.0
Crimson-collared Tanager,17.2,3.07,6.31,0.0,0.0,0.0,0.0,17.2,34502.0
Scarlet-rumped Tanager,64.1,20.93,51.32,0.0959,0.0,1.01,0.0,64.1,34509.0
Blue-and-gold Tanager,11.73,0.5153,0.0029,0.0,0.0,0.0,0.0,11.73,34539.0
Blue-gray Tanager,27.36,15.83,34.69,58.42,18.56,4.04,29.69,58.42,34644.0
Palm Tanager,15.63,7.15,17.21,7.2,0.0,2.02,0.463,17.21,34668.0
Speckled Tanager,72.7,8.17,4.58,0.0,0.0,0.0,0.0,72.7,34677.0
Golden-hooded Tanager,78.18,13.79,34.98,1.25,0.0,0.0,0.0,78.18,34734.0
Spangle-cheeked Tanager,11.72,58.22,16.34,0.0959,3.7,4.04,32.94,58.22,34758.0
Rufous-winged Tanager,1.56,0.0,0.0,0.0,0.0,0.0,0.0,1.56,34796.0
Bay-headed Tanager,79.73,22.47,25.51,0.0,0.0,0.0,0.0,79.73,34800.0
Emerald Tanager,78.96,1.53,1.15,0.0,0.0,0.0,0.0,78.96,34839.0
Silver-throated Tanager,78.17,58.2,47.01,0.1918,7.41,5.05,37.57,78.17,34842.0
Scarlet-thighed Dacnis,39.1,0.5102,15.77,0.0,0.0,0.0,0.0,39.1,34862.0
Green Honeycreeper,53.95,1.53,9.17,0.0959,0.0,0.0,0.0,53.95,34901.0
Black-and-yellow Tanager,60.2,1.53,0.5731,0.0,0.0,0.0,0.0,60.2,34943.0
Slaty Flowerpiercer,0.7812,3.07,0.2865,0.0959,40.74,38.41,51.96,51.96,35023.0
Peg-billed Finch,0.0,0.0,0.0,0.0,0.0,5.07,2.32,5.07,35106.0
Blue-black Grassquit,0.7891,3.07,1.15,0.6711,0.0,0.0,0.0,3.07,35222.0
Thick-billed Seed-Finch,1.56,2.55,0.0,0.0,0.0,0.0,0.0,2.55,35258.0
Variable Seedeater,42.23,12.26,14.05,0.5762,0.0,0.0,0.0,42.23,35272.0
Yellow-faced Grassquit,45.34,22.98,28.95,1.15,0.0,1.01,17.61,45.34,35404.0
Buff-throated Saltator,49.24,21.94,31.52,2.21,0.0,1.01,0.0,49.24,35494.0
Black-headed Saltator,10.16,9.2,9.47,0.1937,0.0,0.0,0.0,10.16,35503.0
Cinnamon-bellied Saltator,0.7812,1.54,1.72,38.08,0.0,0.0,0.463,38.08,35517.0
